Date,Price
01/12/2022,75.155
01/11/2022,78.735
01/10/2022,84.605
01/07/2022,88.175
01/06/2022,96.5
01/05/2022,91.52
01/04/2022,88.74
01/03/2022,80.435
12/31/2021,70.345
12/30/2021,87.027
12/29/2021,96.475
12/28/2021,106.59
12/27/2021,106.895
12/23/2021,132.58
12/22/2021,172.875
12/21/2021,180.265
12/20/2021,146.925
12/17/2021,136.915
12/16/2021,142.765
12/15/2021,132.285
12/14/2021,128.3
12/13/2021,116.085
12/10/2021,105.775
12/09/2021,100.445
12/08/2021,101.5
12/07/2021,95.885
12/06/2021,89.93
12/03/2021,89.48
12/02/2021,94.83
12/01/2021,95.675
11/30/2021,92.515
11/29/2021,93.146
11/26/2021,87.772
11/24/2021,93.985
11/23/2021,90.925
11/22/2021,84.015
11/19/2021,87.125
11/18/2021,95.165
11/17/2021,95.005
11/16/2021,94.19
11/15/2021,79.945
11/12/2021,75.675
11/11/2021,74.79
11/10/2021,70.125
11/09/2021,72.585
11/08/2021,79.075
11/05/2021,74.025
11/04/2021,73.375
11/03/2021,76.54
11/02/2021,67.605
11/01/2021,65.62
10/29/2021,64.865
10/28/2021,77.032
10/27/2021,86.82
10/26/2021,88.495
10/25/2021,88.645
10/22/2021,87.34
10/21/2021,88.465
10/20/2021,93.45
10/19/2021,89.93
10/18/2021,93.935
10/15/2021,93.65
10/14/2021,102.17
10/13/2021,93.615
10/12/2021,85.7
10/11/2021,85.215
10/08/2021,87.605
10/07/2021,96.585
10/06/2021,108.19
10/05/2021,116.02
10/04/2021,96.65
10/01/2021,93.625
09/30/2021,97.775
09/29/2021,86.609
09/28/2021,78.565
09/27/2021,76.505
09/24/2021,70.24
09/23/2021,69.685
09/22/2021,71.69
09/21/2021,73.78
09/20/2021,75.315
09/17/2021,65.103
09/16/2021,63.25
09/15/2021,70.705
09/14/2021,65.765
09/13/2021,61.28
09/10/2021,57.916
09/09/2021,56.58
09/08/2021,55.29
09/07/2021,53.91
09/03/2021,51.505
09/02/2021,51.915
09/01/2021,50.23
08/31/2021,50.34
08/30/2021,49.68
08/27/2021,47.806
08/26/2021,45.79
08/25/2021,45.285
08/24/2021,44.87
08/23/2021,41.68
08/20/2021,41.944
08/19/2021,40.395
08/18/2021,45.385
08/17/2021,46.95
08/16/2021,47.99
08/13/2021,44.63
08/12/2021,45.87
08/11/2021,45.985
08/10/2021,44.655
08/09/2021,42.785
08/06/2021,43.12
08/05/2021,42.9
08/04/2021,42.255
08/03/2021,41.245
08/02/2021,42.155
07/30/2021,40.755
07/29/2021,41.154
07/28/2021,39.7
07/27/2021,37.59
07/26/2021,36.915
07/23/2021,35.525
07/22/2021,36.13
07/21/2021,35.95
07/20/2021,35.165
07/19/2021,35.65
07/16/2021,34.84
07/15/2021,33.795
07/14/2021,34.775
07/13/2021,35.465
07/12/2021,34.65
07/09/2021,36.632
07/08/2021,33.31
07/07/2021,32.34
07/06/2021,34.105
07/02/2021,35.827
07/01/2021,36.145
06/30/2021,34.62
06/29/2021,33.486
06/28/2021,32.29
06/25/2021,32.385
06/24/2021,32.015
06/23/2021,31.545
06/22/2021,30.735
06/21/2021,29.615
06/18/2021,29.405
06/17/2021,28.31
06/16/2021,28.03
06/15/2021,28.135
06/14/2021,28.81
06/11/2021,27.845
06/10/2021,28.685
06/09/2021,28.3
06/08/2021,27.8
06/07/2021,26.49
06/04/2021,25.795
06/03/2021,25.705
06/02/2021,25.725
06/01/2021,25.975
05/28/2021,24.93
05/27/2021,25.2
05/26/2021,26.425
05/25/2021,26.19
05/24/2021,24.76
05/21/2021,24.795
05/20/2021,24.685
05/19/2021,22.665
05/18/2021,24.81
05/17/2021,26.31
05/14/2021,26.83
05/13/2021,26.25
05/12/2021,26.42
05/11/2021,25.805
05/10/2021,25.19
05/07/2021,23.94
05/06/2021,24.33
05/05/2021,23.96
05/04/2021,23.05
05/03/2021,23.815
04/30/2021,23.285
04/29/2021,22.5
04/28/2021,21.555
04/27/2021,21.405
04/26/2021,20
04/23/2021,20.045
04/22/2021,21.37
04/21/2021,21.11
04/20/2021,21.065
04/19/2021,20.94
04/16/2021,20.54
04/15/2021,20.26
04/14/2021,19.68
04/13/2021,19.51
04/12/2021,19.65
04/09/2021,18.94
04/08/2021,18.99
04/07/2021,19.285
04/06/2021,19.78
04/05/2021,19.17
04/01/2021,19.17
03/31/2021,18.995
03/30/2021,18.805
03/29/2021,18.445
03/26/2021,18.7
03/25/2021,18.365
03/24/2021,18.59
03/23/2021,18.39
03/22/2021,18.045
03/19/2021,17.265
03/18/2021,17.76
03/17/2021,17.97
03/16/2021,17.66
03/15/2021,17.93
03/12/2021,18.45
03/11/2021,18.125
03/10/2021,17.63
03/09/2021,16.925
03/08/2021,16.15
03/05/2021,16.365
03/04/2021,15.93
03/03/2021,15.525
03/02/2021,15.87
03/01/2021,16.08
02/26/2021,15.695
02/25/2021,15.935
02/24/2021,16.38
02/23/2021,16.25
02/22/2021,15.96
02/19/2021,16.555
02/18/2021,17.33
02/17/2021,16.54
02/16/2021,16.715
02/12/2021,17.62
02/11/2021,17.375
02/10/2021,18.56
02/09/2021,19.045
02/08/2021,20.18
02/05/2021,18.38
02/04/2021,18.12
02/03/2021,17.855
02/02/2021,18.25
02/01/2021,18.14
01/29/2021,19.82
01/28/2021,20.91
01/27/2021,19.7
01/26/2021,19.51
01/25/2021,20.16
01/22/2021,21.485
01/21/2021,20.065
01/20/2021,20.26
01/19/2021,20.325
01/15/2021,20.2
01/14/2021,21.335
01/13/2021,21.5
01/12/2021,26.155
01/11/2021,22.125
01/08/2021,20.12
01/07/2021,19.305
01/06/2021,17.565
01/05/2021,18.005
01/04/2021,19.845
12/31/2020,19.125
12/30/2020,19
12/29/2020,18.775
12/28/2020,19.15
12/24/2020,17.65
12/23/2020,17.505
12/22/2020,17.635
12/21/2020,16.795
12/18/2020,15.885
12/17/2020,15.94
12/16/2020,16.38
12/15/2020,17.225
12/14/2020,16.605
12/11/2020,15.96
12/10/2020,15.54
12/09/2020,14.735
12/08/2020,14.445
12/07/2020,14.355
12/04/2020,14.645
12/03/2020,14.145
12/02/2020,14.905
12/01/2020,14.91
11/30/2020,15.14
11/27/2020,14.485
11/25/2020,13.93
11/24/2020,13.9
11/23/2020,13.535
11/20/2020,12.895
11/19/2020,13.02
11/18/2020,13.68
11/17/2020,13.97
11/16/2020,14.495
11/13/2020,14.24
11/12/2020,14
11/11/2020,14.095
11/10/2020,14.035
11/09/2020,13.855
11/06/2020,13.9
11/05/2020,14.455
11/04/2020,13.885
11/03/2020,13.665
11/02/2020,13.655
10/30/2020,14.06
10/29/2020,14.215
10/28/2020,14.485
10/27/2020,14.745
10/26/2020,14.865
10/23/2020,15.41
10/22/2020,15.255
10/21/2020,14.865
10/20/2020,14.895
10/19/2020,14.72
10/16/2020,14.5
10/15/2020,14.24
10/14/2020,13.87
10/13/2020,13.595
10/12/2020,13.84
10/09/2020,13.755
10/08/2020,13.9
10/07/2020,13.71
10/06/2020,13.305
10/05/2020,13.42
10/02/2020,13.025
10/01/2020,13.18
09/30/2020,13.285
09/29/2020,12.28
09/28/2020,12.35
09/25/2020,11.665
09/24/2020,11.635
09/23/2020,12.02
09/22/2020,11.705
09/21/2020,11.495
09/18/2020,11.475
09/17/2020,11.12
09/16/2020,11.32
09/15/2020,10.895
09/14/2020,10.705
09/11/2020,10.495
09/10/2020,10.515
09/09/2020,10.735
09/08/2020,10.8
09/04/2020,11.68
09/03/2020,11.735
09/02/2020,11.11
09/01/2020,11.295
08/31/2020,11.24
08/28/2020,11.17
08/27/2020,8.87
08/26/2020,9.15
08/25/2020,8.865
08/24/2020,8.36
08/21/2020,7.62
08/20/2020,8.15
08/19/2020,8.355
08/18/2020,8.55
08/17/2020,8.18
08/14/2020,8.02
08/13/2020,7.31
08/12/2020,7.17
08/11/2020,7.415
08/10/2020,7.59
08/07/2020,7.93
08/06/2020,7.94
08/05/2020,7.32
08/04/2020,7.355
08/03/2020,6.8
07/31/2020,6.025
07/30/2020,5.225
07/29/2020,5.175
07/28/2020,4.96
07/27/2020,4.785
07/24/2020,5.01
07/23/2020,4.985
07/22/2020,4.83
07/21/2020,4.79
07/20/2020,4.73
07/17/2020,5.115
07/16/2020,5.06
07/15/2020,5.225
07/14/2020,5.085
07/13/2020,5.11
07/10/2020,5.475
07/09/2020,5.755
07/08/2020,5.935
