geo,add_formal_time,nrg_cons,I_TAX,X_TAX,X_VAT,energy,taxes,vat,total
AT,2024-07-31,GJ_GE4000000,0.0519,0.0428,0.0432,0.0428,0.0004000000000000045,0.0087,0.0519
AT,2024-07-31,GJ_LT1000,0.1129,0.0914,0.0941,0.0914,0.002700000000000008,0.018799999999999997,0.1129
AT,2024-07-31,TOT_GJ,0.0626,0.0511,0.0522,0.0511,0.0011000000000000038,0.0104,0.0626
BE,2008-01-31,GJ1000-9999,0.0476,0.0384,0.0393,0.0384,0.000900000000000005,0.008300000000000002,0.0476
BE,2008-01-31,GJ10000-99999,0.0398,0.0323,0.0329,0.0323,0.0005999999999999964,0.006900000000000003,0.0398
BE,2008-01-31,GJ100000-999999,0.0378,0.0311,0.0314,0.0311,0.0002999999999999982,0.006400000000000003,0.0378
BE,2008-01-31,GJ1000000-3999999,0.0385,0.0317,0.0319,0.0317,0.0001999999999999988,0.006600000000000002,0.0385
BE,2008-01-31,GJ_LT1000,0.0566,0.0455,0.0467,0.0455,0.0011999999999999997,0.009899999999999999,0.0566
BE,2008-07-31,GJ1000-9999,0.056,0.0453,0.0462,0.0453,0.000899999999999998,0.009800000000000003,0.056
BE,2008-07-31,GJ10000-99999,0.0469,0.0377,0.0388,0.0377,0.0011000000000000038,0.008099999999999996,0.0469
BE,2008-07-31,GJ100000-999999,0.042,0.0328,0.0356,0.0328,0.002799999999999997,0.006400000000000003,0.042
BE,2008-07-31,GJ1000000-3999999,0.0379,0.0317,0.0339,0.0317,0.0022000000000000006,0.0040000000000000036,0.0379
BE,2008-07-31,GJ_LT1000,0.0706,0.057,0.0583,0.057,0.0012999999999999956,0.012299999999999998,0.0706
BE,2009-01-31,GJ1000-9999,0.0485,0.0389,0.0399,0.0389,0.0010000000000000009,0.008600000000000003,0.0485
BE,2009-01-31,GJ10000-99999,0.0392,0.0314,0.0325,0.0314,0.0011000000000000038,0.006699999999999998,0.0392
BE,2009-01-31,GJ100000-999999,0.0381,0.0289,0.0317,0.0289,0.0028000000000000004,0.006400000000000003,0.0381
BE,2009-01-31,GJ1000000-3999999,0.0306,0.0231,0.0254,0.0231,0.0023,0.0052,0.0306
BE,2009-01-31,GJ_LT1000,0.0558,0.0448,0.0461,0.0448,0.0013000000000000025,0.0097,0.0558
BE,2009-07-31,GJ1000-9999,0.0429,0.0344,0.0355,0.0344,0.0010999999999999968,0.007400000000000004,0.0429
BE,2009-07-31,GJ10000-99999,0.0365,0.029,0.0306,0.029,0.0015999999999999973,0.005899999999999999,0.0365
BE,2009-07-31,GJ100000-999999,0.0365,0.0279,0.0315,0.0279,0.003599999999999999,0.0049999999999999975,0.0365
BE,2009-07-31,GJ1000000-3999999,0.031,0.0233,0.0262,0.0233,0.0029,0.004799999999999999,0.031
BE,2009-07-31,GJ_LT1000,0.0484,0.0386,0.04,0.0386,0.0013999999999999985,0.008399999999999998,0.0484
BE,2010-01-31,GJ1000-9999,0.0438,0.035,0.0362,0.035,0.0011999999999999997,0.007599999999999996,0.0438
BE,2010-01-31,GJ10000-99999,0.0345,0.0275,0.0285,0.0275,0.0010000000000000009,0.006000000000000002,0.0345
BE,2010-01-31,GJ100000-999999,0.0287,0.0231,0.0237,0.0231,0.0005999999999999998,0.005000000000000001,0.0287
BE,2010-01-31,GJ1000000-3999999,0.0258,0.0209,0.0213,0.0209,0.00040000000000000105,0.0045000000000000005,0.0258
BE,2010-01-31,GJ_LT1000,0.0497,0.0398,0.0411,0.0398,0.0012999999999999956,0.008600000000000003,0.0497
BE,2010-07-31,GJ1000-9999,0.0479,0.0375,0.0398,0.0375,0.0023000000000000034,0.008099999999999996,0.0479
BE,2010-07-31,GJ10000-99999,0.0357,0.0275,0.0295,0.0275,0.0019999999999999983,0.006200000000000004,0.0357
BE,2010-07-31,GJ100000-999999,0.0304,0.0235,0.0251,0.0235,0.0016000000000000007,0.005299999999999999,0.0304
BE,2010-07-31,GJ1000000-3999999,0.0301,0.0239,0.0248,0.0239,0.000899999999999998,0.005299999999999999,0.0301
BE,2010-07-31,GJ_LT1000,0.0576,0.0459,0.0479,0.0459,0.001999999999999995,0.0097,0.0576
BE,2011-01-31,GJ1000-9999,0.0508,0.0403,0.0419,0.0403,0.0015999999999999973,0.008899999999999998,0.0508
BE,2011-01-31,GJ10000-99999,0.0397,0.0314,0.0328,0.0314,0.0014000000000000054,0.006899999999999996,0.0397
BE,2011-01-31,GJ100000-999999,0.0321,0.0258,0.0266,0.0258,0.0007999999999999986,0.005499999999999998,0.0321
BE,2011-01-31,GJ1000000-3999999,0.0299,0.0241,0.0247,0.0241,0.0005999999999999998,0.0052,0.0299
BE,2011-01-31,GJ_LT1000,0.0604,0.0481,0.05,0.0481,0.0019000000000000059,0.0104,0.0604
BE,2011-07-31,GJ1000-9999,0.0542,0.043,0.0448,0.043,0.001800000000000003,0.009399999999999999,0.0542
BE,2011-07-31,GJ10000-99999,0.0402,0.0317,0.0332,0.0317,0.0015000000000000013,0.006999999999999999,0.0402
BE,2011-07-31,GJ100000-999999,0.0336,0.0269,0.0278,0.0269,0.000899999999999998,0.0058,0.0336
BE,2011-07-31,GJ1000000-3999999,0.0336,0.0271,0.0276,0.0271,0.0005000000000000004,0.005999999999999998,0.0336
BE,2011-07-31,GJ_LT1000,0.0651,0.052,0.0538,0.052,0.001800000000000003,0.011300000000000004,0.0651
BE,2012-01-31,GJ1000-9999,0.0539,0.0422,0.0445,0.0422,0.0022999999999999965,0.009400000000000006,0.0539
BE,2012-01-31,GJ10000-99999,0.0421,0.033,0.0347,0.033,0.0017000000000000001,0.007399999999999997,0.0421
BE,2012-01-31,GJ100000-999999,0.0347,0.0276,0.0287,0.0276,0.0011000000000000003,0.006000000000000002,0.0347
BE,2012-01-31,GJ1000000-3999999,0.0337,0.0271,0.0278,0.0271,0.0006999999999999992,0.0059000000000000025,0.0337
BE,2012-01-31,GJ_LT1000,0.0672,0.0532,0.0555,0.0532,0.0023000000000000034,0.011699999999999995,0.0672
BE,2012-07-31,GJ1000-9999,0.0457,0.037,0.0393,0.037,0.0023000000000000034,0.006399999999999996,0.0457
