Date,Close
2025-05-22,36.356
2025-05-21,36.621
2025-05-20,36.979
2025-05-19,35.225
2025-05-16,35.156
2025-05-15,35.294
2025-05-14,35.048
2025-05-13,35.744
2025-05-12,35.39
2025-05-09,34.618
2025-05-08,35.341
2025-05-07,34.531
2025-05-06,34.743
2025-05-05,32.93
2025-05-02,33.078
2025-05-01,32.149
2025-04-30,32.317
2025-04-29,31.856
2025-04-28,32.398
2025-04-25,32.432
2025-04-24,33.574
2025-04-23,34.16
2025-04-22,34.244
2025-04-21,35.657
2025-04-17,35.657
2025-04-16,35.312
2025-04-15,34.407
2025-04-14,34.499
2025-04-11,33.463
2025-04-10,33.293
2025-04-09,33.666
2025-04-08,36.231
2025-04-07,37.0
2025-04-04,36.401
2025-04-03,39.203
2025-04-02,41.263
2025-04-01,42.45
2025-03-31,40.667
2025-03-28,40.815
2025-03-27,41.369
2025-03-26,40.87
2025-03-25,41.555
2025-03-24,42.748
2025-03-21,42.605
2025-03-20,42.855
2025-03-19,43.355
2025-03-18,40.755
2025-03-17,41.248
2025-03-14,42.29
2025-03-13,42.076
2025-03-12,42.254
2025-03-11,42.71
2025-03-10,41.232
2025-03-07,39.971
2025-03-06,38.24
2025-03-05,41.508
2025-03-04,43.464
2025-03-03,45.213
2025-02-28,44.32
2025-02-27,44.93
2025-02-26,41.336
2025-02-25,44.291
2025-02-24,47.144
2025-02-21,47.195
2025-02-20,47.494
2025-02-19,48.264
2025-02-18,49.215
2025-02-14,50.685
2025-02-13,51.383
2025-02-12,55.661
2025-02-11,57.766
2025-02-10,58.039
2025-02-07,55.723
2025-02-06,54.502
2025-02-05,53.438
2025-02-04,52.048
2025-02-03,53.794
2025-01-31,53.237
2025-01-30,51.444
2025-01-29,51.04
2025-01-28,48.246
2025-01-27,47.952
2025-01-24,49.702
2025-01-23,49.123
2025-01-22,48.716
2025-01-21,50.027
2025-01-20,46.887
2025-01-17,46.887
2025-01-16,46.241
2025-01-15,47.006
2025-01-14,46.947
2025-01-13,48.261
2025-01-10,45.008
2025-01-09,44.987
2025-01-08,45.559
2025-01-07,47.474
2025-01-06,47.326
2025-01-03,49.622
2025-01-02,50.273
2024-12-31,48.889
2024-12-30,47.633
2024-12-27,47.731
2024-12-26,45.731
2024-12-24,45.731
2024-12-23,45.545
2024-12-20,44.13
2024-12-19,43.078
2024-12-18,41.007
2024-12-17,42.065
2024-12-16,40.277
2024-12-13,41.215
2024-12-12,42.804
2024-12-11,44.694
2024-12-10,45.552
2024-12-09,44.855
2024-12-06,46.48
2024-12-05,46.551
2024-12-04,47.046
2024-12-03,48.557
2024-12-02,48.655
2024-11-29,47.811
2024-11-27,47.281
2024-11-26,47.765
2024-11-25,47.733
2024-11-22,47.018
2024-11-21,48.303
2024-11-20,46.796
2024-11-19,45.668
2024-11-18,46.9
2024-11-15,46.551
2024-11-14,46.224
2024-11-13,43.666
2024-11-12,44.255
2024-11-11,43.728
2024-11-08,42.409
2024-11-07,41.276
2024-11-06,40.388
2024-11-05,40.492
2024-11-04,40.301
