,geo,add_formal_time,nrg_cons,I_TAX,X_TAX,X_VAT,energy,taxes,vat,total
2962,PT,2021-01-01,KWH2500-4999,0.2211,0.11969999999999999,0.18333333333333335,0.11969999999999999,0.06363333333333336,0.03776666666666664,0.2211
2963,PT,2021-01-01,KWH5000-14999,0.21189999999999998,0.1124,0.17356666666666667,0.1124,0.061166666666666675,0.0383333333333333,0.21189999999999998
2964,PT,2021-01-01,KWH_GE15000,0.20206666666666664,0.10573333333333335,0.16446666666666668,0.10573333333333335,0.05873333333333333,0.03759999999999997,0.20206666666666664
2965,PT,2021-01-01,KWH_LT1000,0.4209333333333333,0.23029999999999998,0.36166666666666664,0.23029999999999998,0.13136666666666666,0.05926666666666669,0.4209333333333333
2966,PT,2021-07-01,KWH1000-2499,0.2508666666666666,0.13843333333333332,0.21696666666666667,0.13843333333333332,0.07853333333333334,0.03389999999999996,0.2508666666666666
2967,PT,2021-07-01,KWH2500-4999,0.22913333333333333,0.12290000000000001,0.19109999999999996,0.12290000000000001,0.06819999999999996,0.03803333333333336,0.22913333333333333
2968,PT,2021-07-01,KWH5000-14999,0.2179333333333333,0.11530000000000001,0.17886666666666665,0.11530000000000001,0.06356666666666663,0.039066666666666666,0.2179333333333333
2969,PT,2021-07-01,KWH_GE15000,0.21096666666666666,0.1115,0.17180000000000004,0.1115,0.060300000000000034,0.03916666666666663,0.21096666666666666
2970,PT,2021-07-01,KWH_LT1000,0.446,0.23926666666666666,0.38549999999999995,0.23926666666666666,0.1462333333333333,0.060500000000000054,0.446
2971,PT,2021-07-01,TOT_KWH,0.24126666666666666,0.12986666666666666,0.20283333333333334,0.12986666666666666,0.07296666666666668,0.03843333333333332,0.24126666666666666
2972,PT,2022-01-01,KWH1000-2499,0.2564666666666667,0.20063333333333333,0.2182666666666667,0.20063333333333333,0.017633333333333362,0.038199999999999984,0.2564666666666667
2973,PT,2022-01-01,KWH2500-4999,0.2322,0.17823333333333333,0.19333333333333336,0.17823333333333333,0.01510000000000003,0.03886666666666663,0.2322
2974,PT,2022-01-01,KWH5000-14999,0.22183333333333333,0.16766666666666666,0.18213333333333334,0.16766666666666666,0.014466666666666683,0.039699999999999985,0.22183333333333333
2975,PT,2022-01-01,KWH_GE15000,0.21316666666666664,0.1585,0.17359999999999998,0.1585,0.015099999999999975,0.03956666666666667,0.21316666666666664
2976,PT,2022-01-01,KWH_LT1000,0.4463333333333333,0.3464333333333333,0.3833,0.3464333333333333,0.03686666666666666,0.06303333333333333,0.4463333333333333
2977,PT,2022-01-01,TOT_KWH,0.24496666666666667,0.18823333333333334,0.20483333333333334,0.18823333333333334,0.016600000000000004,0.040133333333333326,0.24496666666666667
2978,PT,2022-07-01,KWH1000-2499,0.25986666666666663,0.24550000000000002,0.22303333333333333,0.24550000000000002,-0.02246666666666669,0.0368333333333333,0.25986666666666663
2979,PT,2022-07-01,KWH2500-4999,0.23463333333333333,0.20823333333333335,0.1964,0.20823333333333335,-0.011833333333333362,0.03823333333333334,0.23463333333333333
2980,PT,2022-07-01,KWH5000-14999,0.22493333333333332,0.19493333333333332,0.18489999999999998,0.19493333333333332,-0.010033333333333339,0.04003333333333334,0.22493333333333332
2981,PT,2022-07-01,KWH_GE15000,0.2162666666666667,0.18689999999999998,0.17613333333333334,0.18689999999999998,-0.010766666666666647,0.040133333333333354,0.2162666666666667
2982,PT,2022-07-01,KWH_LT1000,0.4434,0.48469999999999996,0.3819333333333333,0.48469999999999996,-0.10276666666666667,0.061466666666666725,0.4434
2983,PT,2022-07-01,TOT_KWH,0.24786666666666668,0.2269,0.20823333333333335,0.2269,-0.018666666666666637,0.039633333333333326,0.24786666666666668
2984,PT,2023-01-01,KWH1000-2499,0.2392,0.3232,0.20793333333333333,0.3232,-0.11526666666666666,0.031266666666666665,0.2392
2985,PT,2023-01-01,KWH2500-4999,0.2188,0.31516666666666665,0.18426666666666666,0.31516666666666665,-0.1309,0.03453333333333333,0.2188
2986,PT,2023-01-01,KWH5000-14999,0.21183333333333332,0.30893333333333334,0.17476666666666665,0.30893333333333334,-0.13416666666666668,0.037066666666666664,0.21183333333333332
2987,PT,2023-01-01,KWH_GE15000,0.2168,0.2920333333333333,0.17676666666666666,0.2920333333333333,-0.11526666666666666,0.04003333333333334,0.2168
2988,PT,2023-01-01,KWH_LT1000,0.4123666666666666,0.3754,0.3590333333333333,0.3754,-0.016366666666666696,0.05333333333333329,0.4123666666666666
2989,PT,2023-01-01,TOT_KWH,0.23199999999999998,0.3169666666666667,0.1963,0.3169666666666667,-0.12066666666666667,0.03569999999999998,0.23199999999999998
2990,PT,2023-07-01,KWH1000-2499,0.2598666666666667,0.24966666666666668,0.22843333333333335,0.24966666666666668,-0.021233333333333326,0.03143333333333334,0.2598666666666667
2991,PT,2023-07-01,KWH2500-4999,0.24416666666666664,0.21366666666666667,0.20579999999999998,0.21366666666666667,-0.007866666666666688,0.03836666666666666,0.24416666666666664
2992,PT,2023-07-01,KWH5000-14999,0.23970000000000002,0.21156666666666668,0.19626666666666667,0.21156666666666668,-0.015300000000000008,0.04343333333333335,0.23970000000000002
2993,PT,2023-07-01,KWH_GE15000,0.2382,0.19796666666666665,0.1938,0.19796666666666665,-0.004166666666666652,0.044399999999999995,0.2382
2994,PT,2023-07-01,KWH_LT1000,0.38156666666666667,0.4093,0.33326666666666666,0.4093,-0.07603333333333334,0.04830000000000001,0.38156666666666667
2995,PT,2023-07-01,TOT_KWH,0.2543666666666667,0.2323666666666667,0.2156,0.2323666666666667,-0.01676666666666668,0.03876666666666667,0.2543666666666667
2996,PT,2024-01-01,KWH1000-2499,0.2815666666666667,0.21533333333333335,0.24626666666666663,0.21533333333333335,0.030933333333333285,0.035300000000000054,0.2815666666666667
2997,PT,2024-01-01,KWH2500-4999,0.2595,0.1950333333333333,0.219,0.1950333333333333,0.02396666666666669,0.04050000000000001,0.2595
2998,PT,2024-01-01,KWH5000-14999,0.2483,0.18303333333333335,0.20493333333333333,0.18303333333333335,0.021899999999999975,0.043366666666666664,0.2483
2999,PT,2024-01-01,KWH_GE15000,0.24796666666666667,0.17886666666666665,0.20220000000000002,0.17886666666666665,0.023333333333333373,0.04576666666666665,0.24796666666666667
3000,PT,2024-01-01,KWH_LT1000,0.42053333333333337,0.31116666666666665,0.36893333333333334,0.31116666666666665,0.05776666666666669,0.051600000000000035,0.42053333333333337
3001,PT,2024-07-01,KWH1000-2499,0.30833333333333335,0.20020000000000002,0.26983333333333337,0.20020000000000002,0.06963333333333335,0.03849999999999998,0.30833333333333335
3002,PT,2024-07-01,KWH2500-4999,0.28140000000000004,0.1814,0.23843333333333336,0.1814,0.05703333333333335,0.04296666666666668,0.28140000000000004
3003,PT,2024-07-01,KWH5000-14999,0.26930000000000004,0.1711666666666667,0.22266666666666668,0.1711666666666667,0.05149999999999999,0.04663333333333336,0.26930000000000004
3004,PT,2024-07-01,KWH_GE15000,0.26533333333333337,0.16513333333333333,0.21623333333333336,0.16513333333333333,0.051100000000000034,0.049100000000000005,0.26533333333333337
3005,PT,2024-07-01,KWH_LT1000,0.5022000000000001,0.3188333333333333,0.4402333333333333,0.3188333333333333,0.12140000000000001,0.06196666666666678,0.5022000000000001
3006,PT,2024-07-01,TOT_KWH,0.29619999999999996,0.19010000000000002,0.25203333333333333,0.19010000000000002,0.06193333333333331,0.04416666666666663,0.29619999999999996
3007,SI,2008-01-01,KWH1000-2499,0.13959999999999997,0.11063333333333332,0.11633333333333333,0.11063333333333332,0.005700000000000011,0.023266666666666644,0.13959999999999997
3008,SI,2008-01-01,KWH2500-4999,0.12356666666666667,0.09813333333333334,0.10296666666666666,0.09813333333333334,0.004833333333333328,0.020600000000000007,0.12356666666666667
3009,SI,2008-01-01,KWH5000-14999,0.11483333333333334,0.09146666666666665,0.09566666666666668,0.09146666666666665,0.004200000000000023,0.019166666666666665,0.11483333333333334
3010,SI,2008-01-01,KWH_GE15000,0.10836666666666667,0.08639999999999999,0.09036666666666666,0.08639999999999999,0.003966666666666674,0.018000000000000002,0.10836666666666667
3011,SI,2008-01-01,KWH_LT1000,0.20013333333333336,0.15769999999999998,0.16673333333333332,0.15769999999999998,0.009033333333333338,0.03340000000000004,0.20013333333333336
3012,SI,2008-07-01,KWH1000-2499,0.14153333333333332,0.11213333333333335,0.11796666666666666,0.11213333333333335,0.005833333333333315,0.023566666666666652,0.14153333333333332
3013,SI,2008-07-01,KWH2500-4999,0.12453333333333333,0.09899999999999999,0.10383333333333333,0.09899999999999999,0.004833333333333342,0.020699999999999996,0.12453333333333333
3014,SI,2008-07-01,KWH5000-14999,0.11763333333333333,0.0937,0.09803333333333335,0.0937,0.004333333333333342,0.01959999999999998,0.11763333333333333
3015,SI,2008-07-01,KWH_GE15000,0.1159,0.09263333333333333,0.09649999999999999,0.09263333333333333,0.003866666666666657,0.019400000000000014,0.1159
3016,SI,2008-07-01,KWH_LT1000,0.20810000000000003,0.16406666666666667,0.17343333333333333,0.16406666666666667,0.009366666666666662,0.03466666666666671,0.20810000000000003
3017,SI,2009-01-01,KWH1000-2499,0.16753333333333334,0.12796666666666667,0.13956666666666667,0.12796666666666667,0.0116,0.027966666666666667,0.16753333333333334
3018,SI,2009-01-01,KWH2500-4999,0.1421,0.1115,0.11846666666666666,0.1115,0.006966666666666663,0.02363333333333334,0.1421
3019,SI,2009-01-01,KWH5000-14999,0.13366666666666666,0.10693333333333332,0.11136666666666667,0.10693333333333332,0.004433333333333345,0.022299999999999986,0.13366666666666666
3020,SI,2009-01-01,KWH_GE15000,0.13186666666666666,0.10716666666666667,0.1099,0.10716666666666667,0.0027333333333333237,0.021966666666666662,0.13186666666666666
3021,SI,2009-01-01,KWH_LT1000,0.2804,0.20353333333333334,0.23363333333333333,0.20353333333333334,0.030099999999999988,0.04676666666666665,0.2804
3022,SI,2009-07-01,KWH1000-2499,0.1684,0.12836666666666666,0.14029999999999998,0.12836666666666666,0.011933333333333324,0.028100000000000014,0.1684
3023,SI,2009-07-01,KWH2500-4999,0.14156666666666665,0.11086666666666667,0.11793333333333333,0.11086666666666667,0.0070666666666666655,0.023633333333333312,0.14156666666666665
3024,SI,2009-07-01,KWH5000-14999,0.12996666666666665,0.10376666666666667,0.10833333333333334,0.10376666666666667,0.004566666666666663,0.02163333333333331,0.12996666666666665
3025,SI,2009-07-01,KWH_GE15000,0.12416666666666666,0.10083333333333333,0.10346666666666667,0.10083333333333333,0.0026333333333333347,0.020699999999999996,0.12416666666666666
3026,SI,2009-07-01,KWH_LT1000,0.29856666666666665,0.21493333333333334,0.24873333333333333,0.21493333333333334,0.0338,0.04983333333333331,0.29856666666666665
3027,SI,2010-01-01,KWH1000-2499,0.17779999999999999,0.12886666666666666,0.14823333333333333,0.12886666666666666,0.01936666666666667,0.029566666666666658,0.17779999999999999
3028,SI,2010-01-01,KWH2500-4999,0.14896666666666666,0.1124,0.12409999999999999,0.1124,0.011699999999999988,0.024866666666666676,0.14896666666666666
3029,SI,2010-01-01,KWH5000-14999,0.1358,0.1057,0.11313333333333332,0.1057,0.00743333333333332,0.022666666666666682,0.1358
3030,SI,2010-01-01,KWH_GE15000,0.12856666666666666,0.10283333333333333,0.10706666666666666,0.10283333333333333,0.004233333333333325,0.021500000000000005,0.12856666666666666
3031,SI,2010-01-01,KWH_LT1000,0.27753333333333335,0.18713333333333335,0.23126666666666665,0.18713333333333335,0.0441333333333333,0.046266666666666706,0.27753333333333335
3032,SI,2010-07-01,KWH1000-2499,0.18076666666666666,0.1291,0.15066666666666664,0.1291,0.02156666666666665,0.030100000000000016,0.18076666666666666
3033,SI,2010-07-01,KWH2500-4999,0.15163333333333331,0.1125,0.12643333333333331,0.1125,0.013933333333333311,0.0252,0.15163333333333331
3034,SI,2010-07-01,KWH5000-14999,0.13843333333333332,0.1057,0.11536666666666666,0.1057,0.009666666666666657,0.023066666666666666,0.13843333333333332
3035,SI,2010-07-01,KWH_GE15000,0.1311,0.10273333333333334,0.10930000000000001,0.10273333333333334,0.006566666666666665,0.021799999999999986,0.1311
3036,SI,2010-07-01,KWH_LT1000,0.27676666666666666,0.18513333333333334,0.23063333333333333,0.18513333333333334,0.045499999999999985,0.04613333333333333,0.27676666666666666
3037,SI,2011-01-01,KWH1000-2499,0.17830000000000001,0.12906666666666666,0.14856666666666665,0.12906666666666666,0.01949999999999999,0.02973333333333336,0.17830000000000001
3038,SI,2011-01-01,KWH2500-4999,0.15356666666666666,0.11499999999999999,0.128,0.11499999999999999,0.013000000000000012,0.025566666666666654,0.15356666666666666
3039,SI,2011-01-01,KWH5000-14999,0.14193333333333333,0.10913333333333335,0.1183,0.10913333333333335,0.009166666666666656,0.023633333333333326,0.14193333333333333
3040,SI,2011-01-01,KWH_GE15000,0.13416666666666668,0.1055,0.1118,0.1055,0.0063,0.022366666666666687,0.13416666666666668
3041,SI,2011-01-01,KWH_LT1000,0.2451,0.16816666666666666,0.2043,0.16816666666666666,0.03613333333333335,0.0408,0.2451
3042,SI,2011-07-01,KWH1000-2499,0.18136666666666668,0.13683333333333333,0.1511,0.13683333333333333,0.014266666666666677,0.030266666666666664,0.18136666666666668
3043,SI,2011-07-01,KWH2500-4999,0.159,0.12243333333333334,0.13246666666666665,0.12243333333333334,0.01003333333333331,0.026533333333333353,0.159
3044,SI,2011-07-01,KWH5000-14999,0.14503333333333332,0.1134,0.12083333333333333,0.1134,0.0074333333333333335,0.024199999999999985,0.14503333333333332
3045,SI,2011-07-01,KWH_GE15000,0.1331,0.10516666666666667,0.11093333333333333,0.10516666666666667,0.005766666666666656,0.022166666666666668,0.1331
3046,SI,2011-07-01,KWH_LT1000,0.24,0.17476666666666665,0.19993333333333332,0.17476666666666665,0.02516666666666667,0.04006666666666667,0.24
3047,SI,2012-01-01,KWH1000-2499,0.18863333333333332,0.14303333333333332,0.15716666666666668,0.14303333333333332,0.014133333333333359,0.03146666666666664,0.18863333333333332
3048,SI,2012-01-01,KWH2500-4999,0.16633333333333333,0.12866666666666668,0.1386,0.12866666666666668,0.009933333333333322,0.027733333333333332,0.16633333333333333
3049,SI,2012-01-01,KWH5000-14999,0.15143333333333334,0.11863333333333333,0.1262,0.11863333333333333,0.00756666666666668,0.02523333333333333,0.15143333333333334
3050,SI,2012-01-01,KWH_GE15000,0.1373,0.10883333333333334,0.11443333333333333,0.10883333333333334,0.005599999999999994,0.022866666666666674,0.1373
3051,SI,2012-01-01,KWH_LT1000,0.2386,0.17603333333333335,0.1988,0.17603333333333335,0.022766666666666657,0.0398,0.2386
3052,SI,2012-07-01,KWH1000-2499,0.1909,0.14496666666666666,0.1591,0.14496666666666666,0.014133333333333331,0.031799999999999995,0.1909
3053,SI,2012-07-01,KWH2500-4999,0.16633333333333333,0.12856666666666666,0.1386,0.12856666666666666,0.010033333333333339,0.027733333333333332,0.16633333333333333
3054,SI,2012-07-01,KWH5000-14999,0.15153333333333333,0.11863333333333333,0.1263,0.11863333333333333,0.007666666666666669,0.02523333333333333,0.15153333333333333
3055,SI,2012-07-01,KWH_GE15000,0.13836666666666667,0.10946666666666667,0.1153,0.10946666666666667,0.005833333333333329,0.023066666666666666,0.13836666666666667
3056,SI,2012-07-01,KWH_LT1000,0.24463333333333334,0.18056666666666665,0.20386666666666667,0.18056666666666665,0.023300000000000015,0.04076666666666667,0.24463333333333334
3057,SI,2013-01-01,KWH1000-2499,0.2037,0.14253333333333332,0.16976666666666665,0.14253333333333332,0.02723333333333333,0.03393333333333334,0.2037
3058,SI,2013-01-01,KWH2500-4999,0.17400000000000002,0.1272,0.14503333333333335,0.1272,0.01783333333333334,0.02896666666666667,0.17400000000000002
3059,SI,2013-01-01,KWH5000-14999,0.1554,0.11746666666666668,0.1295666666666667,0.11746666666666668,0.012100000000000014,0.02583333333333332,0.1554
3060,SI,2013-01-01,KWH_GE15000,0.13823333333333335,0.10743333333333334,0.11520000000000001,0.10743333333333334,0.007766666666666672,0.023033333333333336,0.13823333333333335
3061,SI,2013-01-01,KWH_LT1000,0.2587,0.17053333333333334,0.2156,0.17053333333333334,0.04506666666666667,0.04309999999999997,0.2587
3062,SI,2013-07-01,KWH1000-2499,0.21353333333333335,0.14436666666666667,0.17506666666666668,0.14436666666666667,0.030700000000000005,0.03846666666666668,0.21353333333333335
3063,SI,2013-07-01,KWH2500-4999,0.17906666666666668,0.1271,0.14676666666666668,0.1271,0.019666666666666693,0.032299999999999995,0.17906666666666668
3064,SI,2013-07-01,KWH5000-14999,0.15919999999999998,0.11726666666666667,0.13053333333333333,0.11726666666666667,0.013266666666666663,0.028666666666666646,0.15919999999999998
3065,SI,2013-07-01,KWH_GE15000,0.14296666666666666,0.1087,0.11726666666666667,0.1087,0.008566666666666667,0.025699999999999987,0.14296666666666666
3066,SI,2013-07-01,KWH_LT1000,0.27566666666666667,0.17366666666666666,0.22596666666666665,0.17366666666666666,0.052299999999999985,0.04970000000000002,0.27566666666666667
3067,SI,2014-01-01,KWH1000-2499,0.21133333333333335,0.1423,0.17316666666666666,0.1423,0.030866666666666653,0.03816666666666668,0.21133333333333335
3068,SI,2014-01-01,KWH2500-4999,0.17663333333333334,0.12483333333333334,0.14476666666666668,0.12483333333333334,0.019933333333333345,0.031866666666666654,0.17663333333333334
3069,SI,2014-01-01,KWH5000-14999,0.1567,0.1151,0.1284,0.1151,0.013299999999999992,0.02830000000000002,0.1567
3070,SI,2014-01-01,KWH_GE15000,0.14066666666666666,0.10686666666666667,0.1153,0.10686666666666667,0.008433333333333334,0.025366666666666662,0.14066666666666666
3071,SI,2014-01-01,KWH_LT1000,0.2738333333333333,0.1734,0.22443333333333335,0.1734,0.05103333333333335,0.04939999999999997,0.2738333333333333
